take,clip_id,carrier,intended,text_sentiment,f0_mean,f0_std,f0_range,egemaps_loudness,egemaps_hnr,egemaps_jitter,egemaps_shimmer_db,rms,speech_rate_cps,permissive_predicted_sentiment,permissive_valence_proxy,research_valence,research_arousal
e3b,e3b_speaker1_neutral_1_neutral,I need to pick up groceries later today.,neutral,neutral,115.22364405406029,11.006568966774648,51.770945108474294,0.863311767578125,4.850447654724121,0.01915433257818222,1.4443304538726807,0.131353974189573,14.675533134602155,neutral,-0.0005550294590648264,0.4281895160675049,0.37949755787849426
e3b,e3b_speaker1_neutral_1_positive,I need to pick up groceries later today.,positive,neutral,133.45005030725315,37.32418056703226,308.80019338716875,0.7117840051651001,4.672414302825928,0.028382938355207443,1.6933858394622803,0.12710159730375153,10.456149522938178,negative,-0.9824044164270163,0.4286702275276184,0.5027549266815186
e3b,e3b_speaker1_neutral_2_negative,The report is due next Tuesday afternoon.,negative,neutral,97.31741113659132,9.459398563027879,43.21099694732543,0.7318090796470642,3.6902482509613037,0.018945083022117615,1.422250747680664,0.11050133024892929,12.82001172562048,negative,-0.9999996423721313,0.3256306052207947,0.21310800313949585
e3b,e3b_speaker1_neutral_2_neutral,The report is due next Tuesday afternoon.,neutral,neutral,127.74681467688646,63.81086908607313,368.42555540626563,0.8580726385116577,5.075758934020996,0.018473632633686066,1.2065635919570923,0.15373151484405242,13.357224303632513,neutral,-0.18791265785694122,0.4031805694103241,0.299221009016037
e3b,e3b_speaker1_neutral_2_positive,The report is due next Tuesday afternoon.,positive,neutral,144.2577676481519,33.47024207958512,134.14748909695066,0.6554381847381592,5.997349262237549,0.029544642195105553,1.3281970024108887,0.12674246345248436,9.609750380874253,negative,-0.9999998756477462,0.5359998941421509,0.5037241578102112
e3b,e3b_speaker1_negative_0_negative,"This is terrible, I can't believe it happened.",negative,negative,115.74893762712264,16.6870170712624,56.18112578311771,0.7115966081619263,4.272630214691162,0.025294847786426544,1.409813642501831,0.11944410370681445,11.929073875976531,negative,-0.20928147435188293,0.10224170982837677,0.39252224564552307
e3b,e3b_speaker1_negative_0_neutral,"This is terrible, I can't believe it happened.",neutral,negative,105.10293272637296,9.532086748117973,58.036895860178205,0.9872003793716431,4.16017484664917,0.017846934497356415,1.2830772399902344,0.16336865109842988,16.286068330677995,negative,-0.9976760146648473,0.14594340324401855,0.287660151720047
e3b,e3b_speaker1_negative_0_positive,"This is terrible, I can't believe it happened.",positive,negative,151.55976237460493,33.14837323696821,158.83055887037983,0.8549492955207825,5.783232688903809,0.03207208961248398,1.4084514379501343,0.13710385610212947,15.22044834146745,negative,-0.6735746413469315,0.2212774008512497,0.5358934998512268
e3b,e3b_speaker1_negative_1_negative,I'm so disappointed in how this went.,negative,negative,113.42253593367164,50.035282446841975,412.05600087931145,0.4573483169078827,4.0209550857543945,0.02162017673254013,1.1612160205841064,0.08678350233713014,12.64524948735475,negative,-0.9999994715001321,0.23299431800842285,0.34902223944664
e3b,e3b_speaker1_negative_1_neutral,I'm so disappointed in how this went.,neutral,negative,117.82309400469371,13.672893113321853,59.925378440816715,0.7107698917388916,4.8150482177734375,0.02379080280661583,1.5422626733779907,0.12378005885380441,13.640552995391706,neutral,-0.010548500246613912,0.23213686048984528,0.316272497177124
e3b,e3b_speaker1_negative_1_positive,I'm so disappointed in how this went.,positive,negative,152.32263145314744,26.043755574319192,106.1686700625093,0.9149395227432251,5.839384078979492,0.025174779817461967,1.2220239639282227,0.14851529859882195,15.427112107155885,negative,-0.9999999998673662,0.3309932351112366,0.5451611876487732
e3b,e3b_speaker1_negative_2_negative,Everything about this situation is awful.,negative,negative,125.34125878664703,69.94836713390562,409.5199949652278,0.5752633213996887,4.0861663818359375,0.024358833208680153,1.506839632987976,0.09862609320227204,10.022918258212375,negative,-0.9999998796748414,0.0690159723162651,0.3943473696708679
e3b,e3b_speaker1_negative_2_neutral,Everything about this situation is awful.,neutral,negative,117.19324597156492,43.3580738841904,293.655661633774,0.5591811537742615,4.634297847747803,0.01478577684611082,1.172587275505066,0.08426805672083017,15.729151680813311,negative,-0.9999999999999687,0.08714770525693893,0.27839356660842896
e3b,e3b_speaker1_negative_2_positive,Everything about this situation is awful.,positive,negative,135.33364195247796,27.368078310334408,134.700818919247,0.852171778678894,4.587290287017822,0.03784182667732239,1.4308079481124878,0.13298486086534936,13.165817043310721,negative,-0.9999934868064884,0.14987623691558838,0.4790845215320587
